科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
经营活动产生的现金流量净额,"102,196,645.05","117,417,486.24","138,227,434.40","89,613,202.36","104,496,913.49","127,096,121.12","114,713,995.27","94,298,060.22","126,498,306.43","35,423,703.64","40,964,009.02","86,218,198.45","170,813,835.05","123,154,726.65"
分配股利、利润或偿还利息支付的现金,"1,505,212.50","107,112.50",,,,,,"21,334,000.00","21,334,000.00",,"101,070,000.00","106,670,000.00","106,670,000.00",
收回投资收到的现金,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"2,541,606.11","4,246,529.07","4,246,529.07","3,963,510.21","7,047,815.09",,"14,079,843.58","59,403,586.26","30,161,112.18","47,239,966.03"
取得投资收益收到的现金,,"321,452.05","1,178,131.66","1,162,500.00","1,912,500.00",,"737,500.00","1,612,500.00","4,365,308.22","1,050,000.00","6,260,753.42","8,933,194.29","10,477,319.25","5,947,421.04"
筹资活动现金流出小计,"11,505,212.50","20,107,112.50",,,"2,541,606.11","4,246,529.07","4,246,529.07","25,297,510.21","28,381,815.09",,"115,149,843.58","166,073,586.26","136,831,112.18","47,239,966.03"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"71,418.97","4,922.33","4,922.33",,"123,000.00","356,980.58","356,932.03",,300.00,"1,250.00",900.00,300.00
筹资活动产生的现金流量净额,"-11,505,212.50","-20,107,112.50",,,"629,745,293.89","-4,246,529.07","-4,246,529.07","-25,297,510.21","-28,381,815.09",,"-110,874,095.98","-161,797,838.66","-135,831,112.18","-46,741,969.27"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"30,000,000.00","200,000,000.00","100,000,000.00","150,000,000.00","50,737,500.00","50,000,000.00","50,000,000.00","280,000,000.00","50,000,000.00","280,000,000.00","380,000,000.00","560,000,000.00","380,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,
投资活动现金流入小计,,"30,321,452.05","201,249,550.63","101,167,422.33","151,917,422.33","50,737,500.00","50,860,500.00","51,969,480.58","284,722,240.25","51,050,000.00","286,261,053.42","388,934,444.29","570,478,219.25","385,947,721.04"
五、现金及现金等价物净增加额,"71,118,725.68","78,960,413.02","106,009,772.30","-41,311,203.87","646,784,550.21","73,203,147.90","-69,409,707.53","-161,426,585.28","-274,421,081.97","-41,371,988.32","14,570,641.70","-307,934,586.90","-180,949,673.07","31,654,987.09"
购建固定资产、无形资产和其他长期资产支付的现金,"19,572,706.87","18,671,412.77","33,467,212.73","32,091,828.56","39,375,079.50","50,383,944.15","50,737,673.73","102,396,615.87","147,259,813.56","27,845,691.96","91,780,324.76","72,289,390.98","105,390,615.19","30,705,491.33"
期初现金及现金等价物余额,"62,418,669.53","133,537,395.21","212,497,808.23","318,507,580.53","318,507,580.53","965,292,130.74","965,292,130.74","965,292,130.74","965,292,130.74","694,146,796.37","690,871,048.77","690,871,048.77","690,871,048.77","509,921,375.70"
投资支付的现金,,,,,,,,,,,"10,000,000.00","99,000,000.00","10,000,000.00",
期末现金及现金等价物余额,"133,537,395.21","212,497,808.23","318,507,580.53","277,196,376.66","965,292,130.74","1,038,495,278.64","895,882,423.21","803,865,545.46","690,871,048.77","652,774,808.05","705,441,690.47","382,936,461.87","509,921,375.70","541,576,362.79"
