科目,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付其他与筹资活动有关的现金,"10,980,000.00","25,980,000.00","3,353,700,000.00","7,158,542,477.35","10,458,288,829.46","22,244,581,336.37","39,779,801,815.82","895,222,009.32","895,222,009.32"
支付原保险合同赔付款项的现金,"3,305,005,240.24","5,026,651,135.20","7,083,480,841.25","1,707,529,658.24","3,532,852,972.87","5,495,083,768.08",,"1,855,778,373.94","3,759,154,191.77"
筹资活动现金流出小计,"595,915,468.09","666,444,349.35","4,449,651,122.07","7,666,718,533.35","10,980,859,679.60","22,771,823,293.84","41,404,701,117.31","1,255,496,612.06","1,260,133,872.33"
支付保单红利的现金,,,,,,,,,
筹资活动产生的现金流量净额,"13,488,284,090.26","13,417,755,209.00","14,104,878,486.98","353,531,466.65","-1,226,519,679.60","-739,658,293.84","-2,472,457,200.64","-50,326,612.06","-54,963,872.33"
支付给职工以及为职工支付的现金,"1,621,885,441.54","2,145,384,075.26","3,552,964,950.79","695,594,734.22","1,231,960,892.11","1,733,929,119.33","2,663,584,617.23","706,534,281.15","1,305,863,391.97"
四、汇率变动对现金的影响,"14,307,645.16","18,190,923.31","57,444,482.99","-3,842,768.30","-23,315,304.26","-53,181,072.01","-53,015,791.89","-32,030,361.26","-31,173,392.18"
支付的各项税费,"1,462,190,757.60","1,752,905,419.02","2,098,427,083.17","653,370,563.46","1,007,201,845.26","1,291,527,548.55","1,604,421,336.94","472,932,377.95","875,031,974.09"
四(2)、其他原因对现金的影响,,,,,,,,,
支付其他与经营活动有关的现金,"2,823,884,404.25","4,403,918,330.81","3,263,051,650.64","1,500,165,594.56","2,351,287,484.02","3,687,314,728.96","99,252,011,335.45","74,789,562,328.03","590,424,171.85"
五、现金及现金等价物净增加额,"-13,440,568,316.16","-12,841,198,623.80","277,414,453.52","-16,866,545,603.12","-15,587,256,980.74","-27,948,047,629.82","-26,092,882,858.66","-9,628,513,707.42","-10,780,152,810.25"
经营活动现金流出小计,"13,223,148,922.23","18,022,220,252.82","21,202,140,071.76","5,577,946,152.59","9,905,495,961.21","14,636,441,672.63","106,872,859,930.78","78,997,220,787.05","96,387,547,237.36"
期初现金及现金等价物余额,"37,594,870,413.36","37,594,870,413.36","37,594,870,413.36","37,872,284,866.88","37,872,284,866.88","37,872,284,866.88","37,872,284,866.88","11,779,402,008.22","11,779,402,008.22"
经营活动产生的现金流量净额,"101,618,121,443.81","101,021,444,845.64","105,130,683,014.65","-42,908,130,537.72","-58,011,099,389.88","-78,657,700,700.09","-90,914,903,535.28","-74,077,177,883.94","-87,878,230,941.55"
期末现金及现金等价物余额,"24,154,302,097.20","24,753,671,789.56","37,872,284,866.88","21,005,739,263.76","22,285,027,886.14","9,924,237,237.06","11,779,402,008.22","2,150,888,300.80","999,249,197.97"
二、投资活动产生的现金流量,,,,,,,,,
,,,,,,,,,
