科目,2010年度,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
三、营业利润,"4,040,862,483.36","2,323,892,300.35","2,339,505,464.74","2,761,680,001.27","1,982,692,802.11","3,618,112,801.82","6,509,069,119.99","4,332,239,801.04","11,968,954,778.19","14,674,001,754.05","18,516,587,077.30","1,207,360,835.03","2,944,489,755.05","4,902,720,253.00","6,029,932,396.84","1,328,929,210.66","2,765,633,251.39","4,533,680,367.95","6,121,555,166.60","922,537,671.79","1,475,239,565.83"
保险业务收入,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,
营业外收入,"30,081,632.41","49,252,973.93","72,750,806.77","24,554,061.75","33,341,290.40","35,759,039.33","46,707,118.69","1,189,460.26","25,095,704.44","46,262,329.34","98,371,497.62","7,919,136.25","66,984,506.18","72,209,393.76","100,090,209.29","27,914,500.70","30,515,457.76","31,316,763.20","31,699,593.01","15,288,563.68","25,940,306.40"
减：分出保费,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"19,833,587.07","9,522,411.88","14,495,028.03","10,171,004.92","8,278,902.64","12,406,723.72","14,965,550.96","367,059.80","6,672,670.71","14,830,957.99","20,492,387.04","6,777,380.94","8,744,157.86","11,235,532.34","22,843,581.08","2,818,295.26","130,263,119.52","138,343,375.31","151,935,033.95","917,816.38","32,667,564.36"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,
投资收益,"295,375,087.27","-5,895,098.11","993,577,712.64","1,151,849,895.88","771,362,808.51","1,251,525,821.77","2,229,278,760.92","1,597,860,366.39","3,330,330,806.19","5,606,040,868.09","7,181,443,098.25","514,397,692.24","1,323,232,152.03","2,026,796,267.93","2,528,763,806.28","94,169,460.38","320,893,678.87","1,022,594,967.55","1,925,097,552.38","353,162,579.93","433,164,668.24"
四、利润总额,"4,051,110,528.70","2,363,622,862.40","2,397,761,243.48","2,776,063,058.10","2,007,755,189.87","3,641,465,117.43","6,540,810,687.72","4,333,062,201.50","11,987,377,811.92","14,705,433,125.40","18,594,466,187.88","1,208,502,590.34","3,002,730,103.37","4,963,694,114.42","6,107,179,025.05","1,354,025,416.10","2,665,885,589.63","4,426,653,755.84","6,001,319,725.66","936,908,419.09","1,468,512,307.87"
其中：对联营企业和合营企业的投资收益,"135,714,179.00","115,293,567.50","96,231,379.50","116,201,895.88","54,551,859.81","81,269,784.61","107,003,202.32","39,160,044.67","140,365,427.67","279,197,841.71","371,337,362.16","67,834,623.74","154,988,635.88","236,072,703.04",,,,,,,
减：所得税,"940,789,117.69","542,019,229.41","549,519,455.40","668,044,301.65","511,854,148.12","873,750,887.84","1,597,585,044.99","1,077,645,444.44","2,965,556,212.97","3,622,922,958.40","4,645,687,516.71","365,912,014.94","806,299,110.45","1,258,527,360.63","1,550,965,868.03","313,228,031.97","652,771,729.92","1,064,715,151.37","1,422,570,941.36","194,080,171.92","304,972,745.16"
公允价值变动收益,"-16,865,762.71","37,635,872.79","42,822,025.53","-261,247,388.95","180,348,660.62","442,527,011.64","547,331,191.51","344,120,701.41","835,147,775.02","-1,423,828,524.81","-415,399,842.65","-281,913,204.76","-460,598,340.04","-265,052,504.52","-729,566,237.25","336,351,611.30","626,180,487.18","617,847,021.21","411,261,473.29","-54,722,924.74","-134,734,955.90"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"-3,183,434.96","603,438.13","505,918.70","-1,737,611.08","-6,732,641.94","-9,391,284.83","-610,716.93","-3,839,217.87","-3,422,833.72","31,723,519.48","70,763,057.97","-22,172,807.39","13,785,158.62","15,742,512.85","71,390,929.46","-18,066,576.59","-13,505,880.77","-14,528,851.45","-14,111,703.58","712,090.09","133,709.00"
五、净利润,"3,110,321,411.01","1,821,603,632.99","1,848,241,788.08","2,108,018,756.45","1,495,901,041.75","2,767,714,229.59","4,943,225,642.73","3,255,416,757.06","9,021,821,598.95","11,082,510,167.00","13,948,778,671.17","842,590,575.40","2,196,430,992.92","3,705,166,753.79","4,556,213,157.02","1,040,797,384.13","2,013,113,859.71","3,361,938,604.47","4,578,748,784.30","742,828,247.17","1,163,539,562.71"
其他业务收入,"13,605,908.43","60,968,067.09","41,009,170.52","40,291,368.02","16,218,594.71","26,670,372.68","45,585,351.62","16,929,758.69","33,028,036.48","35,753,283.09","40,979,773.37","24,370,758.57","38,425,531.77","44,106,165.96","53,455,394.58","19,870,192.59","34,541,500.77","45,028,975.27","55,021,256.65","21,211,346.67","37,100,956.48"
（一）归属于母公司所有者的净利润,"3,110,321,411.01","1,821,603,632.99","1,848,241,788.08","2,108,009,570.57","1,495,901,041.75","2,752,259,168.83","4,927,564,849.42","3,255,392,700.38","9,021,795,748.54","11,082,582,570.50","13,949,033,996.79","842,783,492.99","2,196,373,726.20","3,704,908,519.46","4,556,152,321.66","1,040,965,772.96","2,013,220,390.15","3,360,041,652.61","4,574,777,573.93","739,352,545.55","1,157,598,661.71"
二、营业支出,"3,764,597,137.96","3,732,419,531.03","3,739,909,792.74","4,014,307,290.64","2,275,830,990.75","3,573,330,182.56","5,283,253,499.70","2,049,344,768.44","5,503,062,593.83","7,369,033,836.63","10,622,544,521.71","1,672,997,493.65","3,206,033,653.58","4,775,145,022.57","6,718,970,916.94","1,273,568,189.17","2,669,606,063.94","4,211,838,253.98","5,802,055,026.34","1,414,638,908.75","2,584,711,663.06"
（二）少数股东损益,,,,"9,185.88",,"15,455,060.76","15,660,793.31","24,056.68","25,850.41","-72,403.50","-255,325.62","-192,917.59","57,266.72","258,234.33","60,835.36","-168,388.83","-106,530.44","1,896,951.86","3,971,210.37","3,475,701.62","5,940,901.00"
退保金,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,,0.26,0.26,0.30,0.21,0.40,0.70,0.40,1.10,1.35,1.70,0.10,0.27,0.45,0.56,0.13,0.23,0.38,0.52,0.08,0.12
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,,0.26,0.26,0.30,0.21,0.40,0.70,0.40,1.10,1.35,1.70,0.10,0.27,0.45,0.56,0.13,0.23,0.38,0.52,0.08,0.12
